;link;cím;jelenlegi rovat;új elsődleges rovat;új másodlagos rovatok vesszővel elválasztva;kategóriák vesszővel elválasztva;
1;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/beindul-az-alapjarat/;Beindul az Alapjárat!;Nagyvilág;Aktuális;;Aktuális;
2;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/nagyvilaga-transzfogarasi-ut/;A Transzfogarasi-út;Nagyvilág;Aktuális;;Aktuális;
3;https://www.alapjarat.hu/hasznos-infok/allami-tamogatassal-elektromos-autot/;Állami támogatással elektromos autót;Hasznos infók;Hasznos infók;;Hasznos infók;
4;https://www.alapjarat.hu/tech/az-uj-toyota-c-hr/;Az új Toyota C-HR;Tech;Aktuális;;Aktuális;
5;https://www.alapjarat.hu/nagyvilag-bulvar/nagyvilag/nagyvilagdragulo-kgfb/;Drágulnak a kötelező felelősségbiztosítások;Nagyvilág;Aktuális;;Aktuális;
6;https://www.alapjarat.hu/media/videok/bulvarvideo-valogatas/;Bénázó sofőrök válogatás Vol. 1;Videók;Média;;Videók;
7;https://www.alapjarat.hu/tech/chiptuning-lassu-csigabol-versenyparipat/;Chiptuning – Lassú csigából versenyparipát?;Tech;Tuning;;Tuning;
8;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/minden-idok-legdragabb-biztositasa-autobalesetre/;Minden idők legdrágább biztosítása autóbalesetre;Bulvár;Aktuális;;Aktuális;
9;https://www.alapjarat.hu/?p=23008;Nyerj két fős belépőt a TAXI 5-re!;Közösségi;Aktuális;;Aktuális;link rossz
10;https://www.alapjarat.hu/?p=23148;Emlékezz a világ egyik legnagyszerűbb pilótájára Ayrton Sennára;Egyéb;El Mondó;;Sztori;link rossz
11;https://www.alapjarat.hu/?p=24603;A jövő BMW-je: Tisztán elektromos meghajtású BMW iNext;Tech;Tech;Aktuális;Tech,Aktuális;link rossz
12;https://www.alapjarat.hu/?p=25907;A Nagy Mazda MX-5 Tinder!;Közösségi;Aktuális;;Aktuális;link rossz
13;https://www.alapjarat.hu/?p=30779;Egyre kevesebben akarnak önvezető autót!;Nagyvilág;Tech;Aktuális;Tech,Aktuális;link rossz
14;https://www.alapjarat.hu/?p=30825;Hullócsillag? – Mercedes E-osztály W210;Tech;El Mondó;;Sztori;link rossz
15;https://www.alapjarat.hu/?p=30841;Veszélyes a hangulatvilágítás 700 ezer Volkswagenben;Nagyvilág;Aktuális;;Aktuális;link rossz
16;https://www.alapjarat.hu/tech/az-elektromos-autok-tortenete/;Az elektromos autók történetének 4 fő mérföldköve;Tech;Tech;El Mondó;Tech,Sztori;
17;https://www.alapjarat.hu/media/videok/video-valogatas-2-ruszki-soforok/;Videó válogatás 2. - ruszki sofőrök;Videók;Média;;Videók;
18;https://www.alapjarat.hu/hasznos-infok/teli-gumi-szuksegesek/;Téli gumi: szükségesek?;Hasznos infók;Hasznos infók;;Hasznos infók;
19;https://www.alapjarat.hu/hasznos-infok/autofinanszirozas-hogy-eri-meg-jobban/;Autófinanszírozás: hogy éri meg jobban?;Hasznos infók;Hasznos infók;;Hasznos infók;
20;https://www.alapjarat.hu/media/videok/10-gif-a-parkolas-mestereirol/;10 GIF a parkolás mestereiről;Videók;Média;;Videók;
21;https://www.alapjarat.hu/nagyvilag-bulvar/bulvar/audi-egy-lamborghini-szivevel/;Audi egy Lamborghini szívével;Bulvár;Aktuális;;Aktuális;
22;https://www.alapjarat.hu/media/videok/penteki-agyzsibbaszto-video/;Pénteki agyzsibbasztó videó, kocsitörés, amatőr sofőrök;Videók;Média;;Videók;
